OBJECTID,DISTRICT,explServcsOfer,explNoServcsOfer,OSS,CESA,COUNTY_CODE,COUNTY_NAME,ATHLETIC_CONFERENCE_CODE,ATHLETIC_CONFERENCE_NAME,DISTRICT_CODE,Possible Days of Attendance,ADA,ADM,STUDENT_COUNT,SDID,LEAID,TYPE,SHAPE_Length,SHAPE_Area
120,Granton Area,no data,no data,6,10,10,Clark,120,Cloverbelt - East,2226,37759,212.47,220.81,233,2226,5505640,Unified,96983.41548,201142942.1
121,Grantsburg,no data,no data,29,11,7,Burnett,262,Lakeland - West,2233,270508,1534.56,1591.22,1463,2233,5505670,Unified,141975.1868,680149766.2
122,Green Bay Area,16,no data,2833,7,5,Brown,54,Fox River Classic,2289,3447790,18326.16,19929.42,20391,2289,5505820,Unified,126480.6044,250482117.8
123,Green Lake,no data,no data,1,6,24,Green Lake,43,Trailways,2310,50868,281.72,297.47,303,2310,5505880,Unified,95296.45521,106520696.7
124,Greendale,no data,no data,99,1,40,Milwaukee,47,Woodland,2296,469833.5,2625.3,2731.59,2698,2296,5505910,Unified,20413.25774,14423771.11
125,Greenfield,1,1,237,1,40,Milwaukee,47,Woodland,2303,664960.5,3574.66,3778.18,3527,2303,5505940,Unified,45957.0386,19089225.11
126,Greenwood,no data,no data,3,10,10,Clark,120,Cloverbelt - East,2394,57450.5,297.69,312.23,358,2394,5505970,Unified,121344.9229,385895554.3
127,Gresham,no data,no data,29,8,58,Shawano,155,Central Wisconsin - 10,2415,47876,261.54,279.98,292,2415,5500056,Unified,71291.93525,144762196.8
128,Hamilton,no data,no data,94,1,67,Waukesha,17,Greater Metro,2420,823064.5,4455.13,4650.08,4859,2420,5506030,Unified,61336.69276,98884726.34
388,Hartford J1,no data,no data,95,6,66,Washington,45,Wisconsin Little Ten,2443,289094,1613.45,1700.55,1706,2443,5506090,Elementary,98634.81313,126791390.1
372,Hartford UHS,1,no data,64,6,66,Washington,45,Wisconsin Little Ten,2436,228274,1253.2,1334.94,1344,2436,5506120,Secondary,179083.8031,469641924.7
389,Hartland-Lakeside J3,no data,no data,10,1,67,Waukesha,8,Classic Eight,2460,201530,1087.98,1145.06,1187,2460,5506140,Elementary,32621.52426,24883784.06
129,Hayward Community,no data,no data,133,12,57,Sawyer,18,Heart O'North,2478,350559,1946.56,2062.11,2063,2478,5506270,Unified,219965.5324,1586654398
390,Herman-Neosho-Rubicon,no data,no data,2,6,14,Dodge,45,Wisconsin Little Ten,2525,55713,303.99,314.76,318,2525,5500075,Elementary,127619.6371,212855759.4
130,Highland,no data,no data,5,3,25,Iowa,38,Six Rivers,2527,47623,277.3,288.62,297,2527,5506420,Unified,102724.1935,188189507.6
131,Hilbert,no data,no data,10,7,8,Calumet,300,Big East,2534,79612,437.2,454.93,457,2534,5506450,Unified,96228.67789,137709956.9
351,Hillsboro,no data,no data,1,4,62,Vernon,37,Scenic Bluffs,2541,88565,493.27,520.97,540,2541,5506480,Unified,191213.2012,361571442.6
132,Holmen,no data,no data,67,4,32,La Crosse,28,Mississippi Valley,2562,697628,3844.13,3963.8,3994,2562,5506540,Unified,119337.3632,260255638.5
391,Holy Hill Area,no data,no data,5,6,66,Washington,,Not Applicable,2570,89846,501.6,519.34,545,2570,5500080,Elementary,58531.25759,67627090.32
133,Horicon,no data,no data,22,6,14,Dodge,43,Trailways,2576,108128,635.37,663.36,681,2576,5506570,Unified,114982.2123,135904718.1
134,Hortonville Area,no data,4,119,6,44,Outagamie,16,Fox Valley Association,2583,660033,3619.91,3771.62,4011,2583,5506600,Unified,105868.9594,284117188.8
136,Howards Grove,no data,no data,20,7,59,Sheboygan,300,Big East,2605,157366,869.66,889.07,907,2605,5506660,Unified,112506.0251,134061496.1
135,Howard-Suamico,3,2,158,7,5,Brown,54,Fox River Classic,2604,1021291,5589.44,5937.74,6103,2604,5506630,Unified,118697.7889,142435360.9
137,Hudson,no data,no data,147,11,55,Saint Croix,4,Big Rivers,2611,958863,5305.48,5574.78,5614,2611,5506690,Unified,117746.9053,172611100.3
138,Hurley,no data,no data,47,12,26,Iron,20,Indianhead,2618,94391,515.02,548.78,563,2618,5506750,Unified,203364.036,1244552265
139,Hustisford,no data,no data,17,6,14,Dodge,43,Trailways,2625,75004,408.78,428.59,438,2625,5506780,Unified,138553.338,133131256.3
140,Independence,no data,no data,no data,4,61,Trempealeau,11,Dairyland,2632,62048.5,352.71,373.79,382,2632,5506810,Unified,150878.4972,243858936.4
141,Iola-Scandinavia,no data,no data,3,5,68,Waupaca,156,Central Wisconsin - 8,2639,109858,628.84,650.05,665,2639,5506840,Unified,132245.9315,345837894.7
142,Iowa-Grant,no data,no data,10,3,25,Iowa,131,Southwest Wisconsin Activities League,2646,117012,672.82,696.5,732,2646,5506870,Unified,215506.4586,428119076.7
143,Ithaca,no data,no data,31,3,52,Richland,35,Ridge & Valley,2660,75052,415.23,441.48,446,2660,5506960,Unified,219853.9576,225952917
144,Janesville,2,3,967,2,53,Rock,3,Big Eight,2695,1736334.5,9367.65,10154,10069,2695,5507020,Unified,75677.91183,220541370.5
145,Jefferson,no data,no data,108,2,28,Jefferson,36,Rock Valley,2702,307537,1709.99,1798.46,1874,2702,5507050,Unified,156365.8047,274547975.5
146,Johnson Creek,no data,no data,21,2,28,Jefferson,43,Trailways,2730,109204,606.09,634.91,655,2730,5507170,Unified,114482.6554,110270045.6
147,Juda,no data,no data,2,2,23,Green,38,Six Rivers,2737,49710,272.24,284.06,305,2737,5507230,Unified,112920.5805,147803771.9
148,Kaukauna Area,1,2,245,6,44,Outagamie,16,Fox Valley Association,2758,635001,3575.65,3735.3,3935,2758,5507290,Unified,103259.5546,180201601.5
149,Kenosha,8,1,3949,1,30,Kenosha,40,Southeast,2793,3674567,19737.1,21240.27,21233,2793,5507320,Unified,68748.70019,222062683
150,Kettle Moraine,no data,no data,78,1,67,Waukesha,8,Classic Eight,1376,650184.5,3579.88,3758.29,3868,1376,5503510,Unified,123254.7037,213145072.7
151,Kewaskum,no data,no data,64,6,66,Washington,52,East Central,2800,304609,1715.38,1802.42,1814,2800,5507380,Unified,135973.9052,365740283.6
152,Kewaunee,no data,no data,61,7,31,Kewaunee,33,Packerland,2814,162469,911.71,955.7,953,2814,5507410,Unified,95437.38552,334558316.9
153,Kickapoo Area,no data,no data,21,3,62,Vernon,35,Ridge & Valley,5960,85067.5,461.46,488.89,520,5960,5512540,Unified,209335.1193,383985427
